simulation_id,probability,payoutMultiplier
0,0.0001,33900
1,0.0001,0
2,0.0001,3000
3,0.0001,1440
4,0.0001,0
5,0.0001,15860
6,0.0001,1480
7,0.0001,1800
8,0.0001,0
9,0.0001,1800
10,0.0001,0
11,0.0001,0
12,0.0001,0
13,0.0001,41760
14,0.0001,41880
15,0.0001,1400
16,0.0001,4200
17,0.0001,0
18,0.0001,0
19,0.0001,800
20,0.0001,1800
21,0.0001,0
22,0.0001,0
23,0.0001,1600
24,0.0001,1800
25,0.0001,19800
26,0.0001,12240
27,0.0001,4200
28,0.0001,800
29,0.0001,0
30,0.0001,4500
31,0.0001,1440
32,0.0001,3600
33,0.0001,3000
34,0.0001,5400
35,0.0001,3600
36,0.0001,6000
37,0.0001,3000
38,0.0001,2100
39,0.0001,800
40,0.0001,0
41,0.0001,1800
42,0.0001,3000
43,0.0001,0
44,0.0001,1800
45,0.0001,7800
46,0.0001,0
47,0.0001,4400
48,0.0001,0
49,0.0001,41880
50,0.0001,6600
51,0.0001,600
52,0.0001,68800
53,0.0001,14160
54,0.0001,1600
55,0.0001,3000
56,0.0001,3600
57,0.0001,0
58,0.0001,1800
59,0.0001,600
60,0.0001,0
61,0.0001,3300
62,0.0001,600
63,0.0001,600
64,0.0001,7280
65,0.0001,1000
66,0.0001,0
67,0.0001,1800
68,0.0001,14360
69,0.0001,14160
70,0.0001,600
71,0.0001,0
72,0.0001,0
73,0.0001,3000
74,0.0001,1400
75,0.0001,600
76,0.0001,0
77,0.0001,600
78,0.0001,0
79,0.0001,4000
80,0.0001,3000
81,0.0001,0
82,0.0001,0
83,0.0001,0
84,0.0001,1200
85,0.0001,0
86,0.0001,1800
87,0.0001,0
88,0.0001,600
89,0.0001,16760
90,0.0001,1800
91,0.0001,800
92,0.0001,0
93,0.0001,0
94,0.0001,0
95,0.0001,7080
96,0.0001,10800
97,0.0001,900
98,0.0001,0
99,0.0001,700
100,0.0001,2700
101,0.0001,0
102,0.0001,0
103,0.0001,0
104,0.0001,0
105,0.0001,900
106,0.0001,0
107,0.0001,0
108,0.0001,2100
109,0.0001,900
110,0.0001,300
111,0.0001,4050
112,0.0001,0
113,0.0001,500
114,0.0001,0
115,0.0001,900
116,0.0001,1800
117,0.0001,1500
118,0.0001,900
119,0.0001,0
120,0.0001,900
121,0.0001,0
122,0.0001,0
123,0.0001,34300
124,0.0001,3640
125,0.0001,300
126,0.0001,0
127,0.0001,800
128,0.0001,300
129,0.0001,900
130,0.0001,600
131,0.0001,300
132,0.0001,1300
133,0.0001,1800
134,0.0001,900
135,0.0001,1800
136,0.0001,0
137,0.0001,1800
138,0.0001,400
139,0.0001,300
140,0.0001,1500
141,0.0001,0
142,0.0001,900
143,0.0001,1200
144,0.0001,0
145,0.0001,0
146,0.0001,400
147,0.0001,600
148,0.0001,1920
149,0.0001,400
150,0.0001,0
