simulation_id,probability,payoutMultiplier
0,0.0001,900
1,0.0001,2100
2,0.0001,0
3,0.0001,300
4,0.0001,0
5,0.0001,300
6,0.0001,900
7,0.0001,10350
8,0.0001,500
9,0.0001,2100
10,0.0001,1500
11,0.0001,840
12,0.0001,0
13,0.0001,300
14,0.0001,700
15,0.0001,3000
16,0.0001,300
17,0.0001,300
18,0.0001,900
19,0.0001,2100
20,0.0001,1200
21,0.0001,1500
22,0.0001,1500
23,0.0001,400
24,0.0001,0
25,0.0001,0
26,0.0001,1200
27,0.0001,900
28,0.0001,0
29,0.0001,500
30,0.0001,0
31,0.0001,0
32,0.0001,700
33,0.0001,0
34,0.0001,600
35,0.0001,0
36,0.0001,900
37,0.0001,300
38,0.0001,1500
39,0.0001,990
40,0.0001,0
41,0.0001,700
42,0.0001,900
43,0.0001,300
44,0.0001,5400
45,0.0001,600
46,0.0001,0
47,0.0001,400
48,0.0001,500
49,0.0001,0
50,0.0001,0
51,0.0001,0
52,0.0001,2250
53,0.0001,900
54,0.0001,400
55,0.0001,400
56,0.0001,300
57,0.0001,750
58,0.0001,1200
59,0.0001,300
60,0.0001,1200
61,0.0001,0
62,0.0001,0
63,0.0001,0
64,0.0001,1500
65,0.0001,0
66,0.0001,900
67,0.0001,900
68,0.0001,600
69,0.0001,0
70,0.0001,0
71,0.0001,300
72,0.0001,900
73,0.0001,2250
74,0.0001,650
75,0.0001,5400
76,0.0001,33900
77,0.0001,20790
78,0.0001,550
79,0.0001,900
80,0.0001,720
81,0.0001,0
82,0.0001,300
83,0.0001,1200
84,0.0001,1500
85,0.0001,20790
86,0.0001,0
87,0.0001,2340
88,0.0001,0
89,0.0001,0
90,0.0001,300
91,0.0001,0
92,0.0001,0
93,0.0001,0
94,0.0001,0
95,0.0001,0
96,0.0001,0
97,0.0001,0
98,0.0001,0
99,0.0001,0
100,0.0001,300
101,0.0001,1500
102,0.0001,800
103,0.0001,800
104,0.0001,0
105,0.0001,2000
106,0.0001,750
107,0.0001,0
108,0.0001,0
109,0.0001,0
110,0.0001,900
111,0.0001,720
112,0.0001,0
113,0.0001,1500
114,0.0001,20640
115,0.0001,2100
116,0.0001,1200
117,0.0001,900
118,0.0001,0
119,0.0001,400
120,0.0001,3300
121,0.0001,0
122,0.0001,900
123,0.0001,2520
124,0.0001,640
125,0.0001,300
126,0.0001,0
