simulation_id,probability,payoutMultiplier
0,0.0001,861
1,0.0001,169
2,0.0001,1701
3,0.0001,891
4,0.0001,866
5,0.0001,46
6,0.0001,902
7,0.0001,1622
8,0.0001,0
9,0.0001,232
10,0.0001,123
11,0.0001,1540
12,0.0001,892
13,0.0001,170
14,0.0001,0
15,0.0001,31
16,0.0001,144
17,0.0001,2414
18,0.0001,658
19,0.0001,867
20,0.0001,62
21,0.0001,183
22,0.0001,170
23,0.0001,935
24,0.0001,16
25,0.0001,201
26,0.0001,140
27,0.0001,814
28,0.0001,143
29,0.0001,296
30,0.0001,92
31,0.0001,62
32,0.0001,0
33,0.0001,178
34,0.0001,1546
35,0.0001,1509
36,0.0001,144
37,0.0001,3146
38,0.0001,134
39,0.0001,0
40,0.0001,205
41,0.0001,46
42,0.0001,1715
43,0.0001,94
44,0.0001,78
45,0.0001,809
46,0.0001,782
47,0.0001,169
48,0.0001,217
49,0.0001,992
50,0.0001,736
51,0.0001,1639
52,0.0001,2386
53,0.0001,101
54,0.0001,1455
55,0.0001,92
56,0.0001,0
57,0.0001,873
58,0.0001,770
59,0.0001,31
60,0.0001,170
61,0.0001,113
62,0.0001,2376
63,0.0001,912
64,0.0001,23
65,0.0001,31
66,0.0001,186
67,0.0001,962
68,0.0001,936
69,0.0001,148
70,0.0001,169
71,0.0001,131
72,0.0001,644
73,0.0001,139
74,0.0001,768
75,0.0001,830
76,0.0001,870
77,0.0001,85
78,0.0001,205
79,0.0001,109
80,0.0001,1483
81,0.0001,799
82,0.0001,85
83,0.0001,1423
84,0.0001,140
85,0.0001,62
86,0.0001,814
87,0.0001,140
88,0.0001,103
89,0.0001,314
90,0.0001,2328
91,0.0001,781
92,0.0001,47
93,0.0001,113
94,0.0001,1390
95,0.0001,723
96,0.0001,82
97,0.0001,1390
98,0.0001,154
99,0.0001,647
100,0.0001,92
101,0.0001,1488
102,0.0001,767
103,0.0001,62
104,0.0001,156
105,0.0001,46
106,0.0001,154
107,0.0001,937
108,0.0001,1496
109,0.0001,612
110,0.0001,860
111,0.0001,782
112,0.0001,156
113,0.0001,101
114,0.0001,62
115,0.0001,1625
116,0.0001,1698
117,0.0001,830
118,0.0001,55
119,0.0001,1083
120,0.0001,85
121,0.0001,16
122,0.0001,46
123,0.0001,62
124,0.0001,118
125,0.0001,139
126,0.0001,0
127,0.0001,108
128,0.0001,108
129,0.0001,62
130,0.0001,884
131,0.0001,2670
132,0.0001,1451
133,0.0001,131
134,0.0001,621
135,0.0001,706
136,0.0001,1030
137,0.0001,93
138,0.0001,179
139,0.0001,2390
140,0.0001,270
141,0.0001,645
142,0.0001,85
143,0.0001,957
144,0.0001,31
145,0.0001,801
146,0.0001,272
147,0.0001,697
148,0.0001,194
149,0.0001,0
150,0.0001,92
151,0.0001,612
152,0.0001,161
153,0.0001,263
154,0.0001,873
155,0.0001,78
156,0.0001,166
157,0.0001,62
158,0.0001,726
159,0.0001,668
160,0.0001,922
161,0.0001,691
162,0.0001,62
163,0.0001,1969
164,0.0001,1788
165,0.0001,832
166,0.0001,1086
167,0.0001,90
168,0.0001,62
169,0.0001,1565
170,0.0001,0
171,0.0001,1741
172,0.0001,140
173,0.0001,894
174,0.0001,46
175,0.0001,154
176,0.0001,1462
177,0.0001,616
178,0.0001,16
179,0.0001,938
180,0.0001,108
181,0.0001,16
182,0.0001,770
183,0.0001,292
184,0.0001,1535
185,0.0001,736
186,0.0001,860
187,0.0001,0
188,0.0001,2125
189,0.0001,67
190,0.0001,1378
191,0.0001,629
192,0.0001,52
193,0.0001,895
194,0.0001,92
195,0.0001,1721
196,0.0001,62
197,0.0001,46
198,0.0001,899
199,0.0001,247
200,0.0001,62
201,0.0001,123
202,0.0001,57
203,0.0001,70
204,0.0001,826
205,0.0001,1207
206,0.0001,31
207,0.0001,139
208,0.0001,2439
209,0.0001,70
210,0.0001,150
211,0.0001,102
212,0.0001,82
213,0.0001,47
214,0.0001,63
215,0.0001,114
216,0.0001,1503
217,0.0001,77
218,0.0001,0
219,0.0001,62
220,0.0001,164
221,0.0001,847
222,0.0001,47
223,0.0001,170
224,0.0001,674
225,0.0001,1590
226,0.0001,1587
227,0.0001,635
228,0.0001,31
229,0.0001,922
230,0.0001,167
231,0.0001,822
232,0.0001,715
233,0.0001,1002
234,0.0001,917
235,0.0001,23
236,0.0001,2401
237,0.0001,724
238,0.0001,946
239,0.0001,1194
240,0.0001,1488
241,0.0001,4253
242,0.0001,322
243,0.0001,788
244,0.0001,2538
245,0.0001,861
246,0.0001,172
247,0.0001,54
248,0.0001,0
249,0.0001,47
250,0.0001,46
251,0.0001,2406
252,0.0001,3360
253,0.0001,3642
254,0.0001,1618
255,0.0001,46
256,0.0001,47
257,0.0001,63
258,0.0001,788
259,0.0001,686
260,0.0001,0
261,0.0001,2553
262,0.0001,82
263,0.0001,31
264,0.0001,117
265,0.0001,0
266,0.0001,83
267,0.0001,1019
268,0.0001,747
269,0.0001,77
270,0.0001,1013
271,0.0001,3427
272,0.0001,1670
273,0.0001,382
274,0.0001,964
275,0.0001,316
276,0.0001,2180
277,0.0001,714
278,0.0001,210
279,0.0001,716
280,0.0001,16
281,0.0001,62
282,0.0001,907
283,0.0001,108
284,0.0001,82
285,0.0001,155
286,0.0001,62
287,0.0001,945
288,0.0001,827
289,0.0001,223
290,0.0001,171
291,0.0001,166
292,0.0001,0
293,0.0001,1704
294,0.0001,63
295,0.0001,861
296,0.0001,104
297,0.0001,614
298,0.0001,1591
299,0.0001,70
300,0.0001,714
301,0.0001,85
302,0.0001,1759
303,0.0001,3415
304,0.0001,3428
305,0.0001,1169
306,0.0001,177
307,0.0001,206
308,0.0001,791
309,0.0001,139
310,0.0001,880
311,0.0001,62
312,0.0001,123
313,0.0001,100
314,0.0001,805
315,0.0001,725
316,0.0001,62
317,0.0001,774
318,0.0001,1390
319,0.0001,125
320,0.0001,207
321,0.0001,314
322,0.0001,660
323,0.0001,0
324,0.0001,972
325,0.0001,789
326,0.0001,70
327,0.0001,228
328,0.0001,123
329,0.0001,105
330,0.0001,2179
331,0.0001,916
332,0.0001,47
333,0.0001,770
334,0.0001,155
335,0.0001,77
336,0.0001,2994
337,0.0001,838
338,0.0001,1602
339,0.0001,1174
340,0.0001,93
341,0.0001,31
342,0.0001,3824
343,0.0001,1812
344,0.0001,937
345,0.0001,108
346,0.0001,83
347,0.0001,892
348,0.0001,62
349,0.0001,88
350,0.0001,618
351,0.0001,154
352,0.0001,62
353,0.0001,41
354,0.0001,82
355,0.0001,1078
356,0.0001,786
357,0.0001,110
358,0.0001,1475
359,0.0001,859
360,0.0001,31
361,0.0001,41
362,0.0001,103
363,0.0001,85
364,0.0001,93
365,0.0001,155
366,0.0001,70
367,0.0001,154
368,0.0001,1813
369,0.0001,93
370,0.0001,0
371,0.0001,1120
372,0.0001,108
373,0.0001,994
374,0.0001,915
375,0.0001,150
376,0.0001,116
377,0.0001,82
378,0.0001,4060
379,0.0001,891
380,0.0001,979
381,0.0001,958
382,0.0001,932
383,0.0001,770
384,0.0001,727
385,0.0001,171
386,0.0001,170
387,0.0001,98
388,0.0001,909
389,0.0001,222
390,0.0001,1728
391,0.0001,1001
392,0.0001,1351
393,0.0001,868
394,0.0001,819
395,0.0001,0
396,0.0001,1670
397,0.0001,123
398,0.0001,733
399,0.0001,1456
400,0.0001,92
401,0.0001,839
402,0.0001,850
403,0.0001,809
404,0.0001,192
405,0.0001,628
406,0.0001,85
407,0.0001,0
408,0.0001,219
409,0.0001,16
410,0.0001,1488
411,0.0001,62
412,0.0001,1582
413,0.0001,139
414,0.0001,1206
415,0.0001,830
416,0.0001,131
417,0.0001,618
418,0.0001,178
419,0.0001,979
420,0.0001,0
421,0.0001,54
422,0.0001,984
423,0.0001,146
424,0.0001,78
425,0.0001,86
426,0.0001,255
427,0.0001,91
428,0.0001,244
429,0.0001,1721
430,0.0001,689
431,0.0001,82
432,0.0001,108
433,0.0001,721
434,0.0001,194
435,0.0001,0
436,0.0001,1442
437,0.0001,93
438,0.0001,937
439,0.0001,2234
440,0.0001,825
441,0.0001,3123
442,0.0001,77
443,0.0001,139
444,0.0001,907
445,0.0001,62
446,0.0001,1631
447,0.0001,3800
448,0.0001,192
449,0.0001,163
450,0.0001,129
451,0.0001,960
452,0.0001,123
453,0.0001,191
454,0.0001,109
455,0.0001,815
456,0.0001,31
457,0.0001,221
458,0.0001,31
459,0.0001,2273
460,0.0001,845
461,0.0001,626
462,0.0001,1770
463,0.0001,1567
464,0.0001,187
465,0.0001,866
466,0.0001,756
467,0.0001,16
468,0.0001,614
469,0.0001,282
470,0.0001,78
471,0.0001,209
472,0.0001,100
473,0.0001,917
474,0.0001,791
475,0.0001,917
476,0.0001,676
477,0.0001,92
478,0.0001,939
479,0.0001,87
480,0.0001,0
481,0.0001,0
482,0.0001,791
483,0.0001,922
484,0.0001,31
485,0.0001,62
486,0.0001,328
487,0.0001,614
488,0.0001,106
489,0.0001,155
490,0.0001,108
491,0.0001,703
492,0.0001,666
493,0.0001,125
494,0.0001,838
495,0.0001,1402
496,0.0001,162
497,0.0001,0
498,0.0001,2197
499,0.0001,674
500,0.0001,689
501,0.0001,759
502,0.0001,269
503,0.0001,0
504,0.0001,1416
505,0.0001,907
506,0.0001,3133
507,0.0001,1384
508,0.0001,829
509,0.0001,1607
510,0.0001,62
511,0.0001,239
512,0.0001,16
513,0.0001,2514
514,0.0001,157
515,0.0001,1737
516,0.0001,46
517,0.0001,162
518,0.0001,944
519,0.0001,1654
520,0.0001,715
521,0.0001,628
522,0.0001,162
523,0.0001,116
524,0.0001,46
525,0.0001,263
526,0.0001,770
527,0.0001,751
528,0.0001,31
529,0.0001,47
530,0.0001,0
531,0.0001,708
532,0.0001,1631
533,0.0001,88
534,0.0001,1506
535,0.0001,93
536,0.0001,109
537,0.0001,93
538,0.0001,0
539,0.0001,46
540,0.0001,123
541,0.0001,1603
542,0.0001,850
543,0.0001,628
544,0.0001,272
545,0.0001,242
546,0.0001,2543
547,0.0001,930
548,0.0001,2035
549,0.0001,0
550,0.0001,1814
551,0.0001,155
552,0.0001,1000
553,0.0001,47
554,0.0001,62
555,0.0001,132
556,0.0001,185
557,0.0001,3759
558,0.0001,0
559,0.0001,155
560,0.0001,686
561,0.0001,1610
562,0.0001,1015
563,0.0001,119
564,0.0001,1047
565,0.0001,109
566,0.0001,154
567,0.0001,645
568,0.0001,70
569,0.0001,158
570,0.0001,110
571,0.0001,46
572,0.0001,3224
573,0.0001,145
574,0.0001,2396
575,0.0001,886
576,0.0001,52
577,0.0001,124
578,0.0001,814
579,0.0001,1701
580,0.0001,878
581,0.0001,847
582,0.0001,62
583,0.0001,628
584,0.0001,1476
585,0.0001,131
586,0.0001,0
587,0.0001,1401
588,0.0001,215
589,0.0001,70
590,0.0001,93
591,0.0001,708
592,0.0001,747
593,0.0001,149
594,0.0001,92
595,0.0001,46
596,0.0001,773
597,0.0001,62
598,0.0001,868
599,0.0001,0
600,0.0001,819
601,0.0001,830
602,0.0001,123
603,0.0001,46
604,0.0001,931
605,0.0001,698
606,0.0001,23
607,0.0001,721
608,0.0001,62
609,0.0001,124
610,0.0001,0
611,0.0001,47
612,0.0001,614
613,0.0001,129
614,0.0001,132
615,0.0001,230
616,0.0001,108
617,0.0001,155
618,0.0001,108
619,0.0001,108
620,0.0001,47
621,0.0001,77
622,0.0001,23
623,0.0001,691
624,0.0001,768
625,0.0001,57
626,0.0001,47
627,0.0001,3365
628,0.0001,783
629,0.0001,118
630,0.0001,801
631,0.0001,154
632,0.0001,46
633,0.0001,900
634,0.0001,701
635,0.0001,876
636,0.0001,95
637,0.0001,1759
638,0.0001,174
639,0.0001,78
640,0.0001,904
641,0.0001,109
642,0.0001,0
643,0.0001,93
644,0.0001,1664
645,0.0001,31
646,0.0001,879
647,0.0001,62
648,0.0001,0
649,0.0001,938
650,0.0001,166
651,0.0001,47
652,0.0001,0
653,0.0001,2407
654,0.0001,720
655,0.0001,46
656,0.0001,940
657,0.0001,93
658,0.0001,340
659,0.0001,827
660,0.0001,1615
661,0.0001,1597
662,0.0001,612
663,0.0001,154
664,0.0001,2376
665,0.0001,39
666,0.0001,1147
667,0.0001,678
668,0.0001,868
669,0.0001,248
670,0.0001,1529
671,0.0001,63
672,0.0001,874
673,0.0001,171
674,0.0001,124
675,0.0001,768
676,0.0001,131
677,0.0001,1056
678,0.0001,16
679,0.0001,1153
680,0.0001,139
681,0.0001,948
682,0.0001,108
683,0.0001,822
684,0.0001,1479
685,0.0001,77
686,0.0001,23
687,0.0001,62
688,0.0001,1537
689,0.0001,83
690,0.0001,93
691,0.0001,154
692,0.0001,1500
693,0.0001,171
694,0.0001,1027
695,0.0001,125
696,0.0001,31
697,0.0001,958
698,0.0001,123
699,0.0001,54
700,0.0001,108
701,0.0001,139
702,0.0001,62
703,0.0001,0
704,0.0001,871
705,0.0001,667
706,0.0001,3384
707,0.0001,3410
708,0.0001,896
709,0.0001,804
710,0.0001,1625
711,0.0001,956
712,0.0001,62
713,0.0001,93
714,0.0001,70
715,0.0001,119
716,0.0001,0
717,0.0001,643
718,0.0001,778
719,0.0001,4384
720,0.0001,147
721,0.0001,1688
722,0.0001,39
723,0.0001,775
724,0.0001,940
725,0.0001,651
726,0.0001,99
727,0.0001,208
728,0.0001,708
729,0.0001,178
730,0.0001,759
731,0.0001,132
732,0.0001,85
733,0.0001,880
734,0.0001,170
735,0.0001,653
736,0.0001,1751
737,0.0001,735
738,0.0001,1465
739,0.0001,1537
740,0.0001,899
741,0.0001,155
742,0.0001,139
743,0.0001,1568
744,0.0001,151
745,0.0001,1477
746,0.0001,3333
747,0.0001,108
748,0.0001,135
749,0.0001,116
750,0.0001,736
751,0.0001,114
752,0.0001,31
753,0.0001,23
754,0.0001,175
755,0.0001,4509
756,0.0001,109
757,0.0001,935
758,0.0001,1643
759,0.0001,822
760,0.0001,1740
761,0.0001,1524
762,0.0001,62
763,0.0001,799
764,0.0001,93
765,0.0001,77
766,0.0001,70
767,0.0001,47
768,0.0001,864
769,0.0001,3237
770,0.0001,937
771,0.0001,31
772,0.0001,3904
773,0.0001,0
774,0.0001,814
775,0.0001,129
776,0.0001,3311
777,0.0001,837
778,0.0001,85
779,0.0001,62
780,0.0001,1053
781,0.0001,120
782,0.0001,104
783,0.0001,62
784,0.0001,192
785,0.0001,681
786,0.0001,16
787,0.0001,651
788,0.0001,883
789,0.0001,876
790,0.0001,16
791,0.0001,1546
792,0.0001,831
793,0.0001,3527
794,0.0001,62
795,0.0001,0
796,0.0001,31
797,0.0001,793
798,0.0001,820
799,0.0001,731
800,0.0001,183
801,0.0001,151
802,0.0001,178
803,0.0001,1519
804,0.0001,321
805,0.0001,938
806,0.0001,131
807,0.0001,922
808,0.0001,705
809,0.0001,155
810,0.0001,674
811,0.0001,0
812,0.0001,892
813,0.0001,124
814,0.0001,201
815,0.0001,159
816,0.0001,124
817,0.0001,101
818,0.0001,992
819,0.0001,46
820,0.0001,62
821,0.0001,129
822,0.0001,848
823,0.0001,162
824,0.0001,136
825,0.0001,1102
826,0.0001,1457
827,0.0001,979
828,0.0001,2400
829,0.0001,1734
830,0.0001,2553
831,0.0001,85
832,0.0001,140
833,0.0001,1451
834,0.0001,148
835,0.0001,46
836,0.0001,109
837,0.0001,863
838,0.0001,85
839,0.0001,1674
840,0.0001,31
841,0.0001,1532
842,0.0001,208
843,0.0001,154
844,0.0001,930
845,0.0001,78
846,0.0001,23
847,0.0001,0
848,0.0001,116
849,0.0001,139
850,0.0001,1555
851,0.0001,108
852,0.0001,140
853,0.0001,136
854,0.0001,144
855,0.0001,109
856,0.0001,312
857,0.0001,707
858,0.0001,1595
859,0.0001,782
860,0.0001,23
861,0.0001,62
862,0.0001,953
863,0.0001,85
864,0.0001,884
865,0.0001,203
866,0.0001,62
867,0.0001,131
868,0.0001,170
869,0.0001,31
870,0.0001,62
871,0.0001,318
872,0.0001,676
873,0.0001,62
874,0.0001,4033
875,0.0001,177
876,0.0001,154
877,0.0001,62
878,0.0001,92
879,0.0001,0
880,0.0001,2352
881,0.0001,94
882,0.0001,62
883,0.0001,205
884,0.0001,0
885,0.0001,916
886,0.0001,2586
887,0.0001,198
888,0.0001,178
889,0.0001,851
890,0.0001,1259
891,0.0001,109
892,0.0001,62
893,0.0001,119
894,0.0001,931
895,0.0001,1608
896,0.0001,1030
897,0.0001,47
898,0.0001,46
899,0.0001,31
900,0.0001,86
901,0.0001,822
902,0.0001,132
903,0.0001,171
904,0.0001,925
905,0.0001,1770
906,0.0001,155
907,0.0001,1506
908,0.0001,105
909,0.0001,0
910,0.0001,140
911,0.0001,47
912,0.0001,3579
913,0.0001,108
914,0.0001,305
