simulation_id,probability,payoutMultiplier
0,0.0001,2
1,0.0001,6
2,0.0001,1
3,0.0001,9
4,0.0001,8
5,0.0001,2
6,0.0001,8
7,0.0001,1
8,0.0001,0
9,0.0001,6
10,0.0001,8
11,0.0001,0
12,0.0001,9
13,0.0001,6
14,0.0001,20
15,0.0001,0
16,0.0001,1
17,0.0001,1
18,0.0001,1
19,0.0001,32
20,0.0001,0
21,0.0001,2
22,0.0001,1
23,0.0001,10
24,0.0001,0
25,0.0001,8
26,0.0001,7
27,0.0001,15
28,0.0001,20
29,0.0001,0
30,0.0001,10
31,0.0001,1
32,0.0001,18
33,0.0001,1
34,0.0001,6
35,0.0001,0
36,0.0001,1
37,0.0001,0
38,0.0001,16
39,0.0001,0
40,0.0001,0
41,0.0001,11
42,0.0001,1
43,0.0001,1
44,0.0001,0
45,0.0001,1
46,0.0001,0
47,0.0001,1
48,0.0001,24
49,0.0001,1
50,0.0001,9
51,0.0001,0
52,0.0001,0
53,0.0001,0
54,0.0001,8
55,0.0001,1
56,0.0001,1
57,0.0001,17
58,0.0001,0
59,0.0001,1
60,0.0001,22
61,0.0001,23
62,0.0001,14
63,0.0001,1
64,0.0001,1
65,0.0001,0
66,0.0001,0
67,0.0001,13
68,0.0001,2
69,0.0001,1
70,0.0001,0
71,0.0001,1
72,0.0001,1
73,0.0001,1
74,0.0001,1
75,0.0001,9
76,0.0001,0
77,0.0001,10
78,0.0001,8
79,0.0001,9
80,0.0001,1
81,0.0001,1
82,0.0001,7
83,0.0001,7
84,0.0001,1
85,0.0001,1
86,0.0001,0
87,0.0001,8
88,0.0001,0
89,0.0001,1
90,0.0001,0
91,0.0001,1
92,0.0001,1
93,0.0001,1
94,0.0001,1
95,0.0001,1
96,0.0001,14
97,0.0001,1
98,0.0001,1
99,0.0001,0
100,0.0001,1
101,0.0001,9
102,0.0001,0
103,0.0001,1
104,0.0001,30
105,0.0001,2
106,0.0001,8
107,0.0001,7
108,0.0001,0
109,0.0001,0
110,0.0001,1
111,0.0001,1
112,0.0001,1
113,0.0001,1
114,0.0001,9
115,0.0001,0
116,0.0001,11
117,0.0001,1
118,0.0001,1
119,0.0001,7
120,0.0001,0
121,0.0001,6
122,0.0001,0
123,0.0001,1
124,0.0001,0
125,0.0001,1
126,0.0001,18
127,0.0001,16
128,0.0001,9
129,0.0001,7
130,0.0001,1
131,0.0001,1
132,0.0001,1
133,0.0001,0
134,0.0001,8
135,0.0001,1
136,0.0001,37
137,0.0001,17
138,0.0001,0
139,0.0001,1
140,0.0001,0
141,0.0001,8
142,0.0001,1
143,0.0001,1
144,0.0001,11
145,0.0001,8
146,0.0001,1
147,0.0001,15
148,0.0001,0
149,0.0001,7
150,0.0001,1
151,0.0001,17
152,0.0001,9
153,0.0001,8
154,0.0001,9
155,0.0001,0
156,0.0001,0
157,0.0001,2
158,0.0001,0
159,0.0001,1
160,0.0001,0
161,0.0001,1
162,0.0001,1
163,0.0001,7
164,0.0001,2
165,0.0001,26
166,0.0001,1
167,0.0001,9
168,0.0001,16
169,0.0001,36
170,0.0001,16
171,0.0001,1
172,0.0001,0
173,0.0001,9
174,0.0001,2
175,0.0001,8
176,0.0001,0
177,0.0001,9
178,0.0001,1
179,0.0001,0
180,0.0001,9
181,0.0001,1
182,0.0001,0
183,0.0001,0
184,0.0001,8
185,0.0001,0
186,0.0001,1
187,0.0001,1
188,0.0001,1
189,0.0001,1
190,0.0001,18
191,0.0001,1
192,0.0001,1
193,0.0001,0
194,0.0001,8
195,0.0001,1
196,0.0001,2
197,0.0001,1
198,0.0001,0
199,0.0001,0
200,0.0001,3
201,0.0001,1
202,0.0001,1
203,0.0001,0
204,0.0001,1
205,0.0001,0
206,0.0001,1
207,0.0001,1
208,0.0001,0
209,0.0001,0
210,0.0001,23
211,0.0001,23
212,0.0001,1
213,0.0001,0
214,0.0001,9
215,0.0001,1
216,0.0001,0
217,0.0001,1
218,0.0001,0
219,0.0001,8
220,0.0001,9
221,0.0001,2
222,0.0001,1
223,0.0001,14
224,0.0001,13
225,0.0001,1
226,0.0001,0
227,0.0001,11
228,0.0001,1
229,0.0001,0
230,0.0001,0
231,0.0001,9
232,0.0001,2
233,0.0001,1
234,0.0001,6
235,0.0001,2
236,0.0001,1
237,0.0001,0
238,0.0001,0
239,0.0001,15
240,0.0001,16
241,0.0001,0
242,0.0001,36
243,0.0001,1
244,0.0001,1
245,0.0001,0
246,0.0001,0
247,0.0001,0
248,0.0001,1
249,0.0001,0
250,0.0001,2
251,0.0001,12
252,0.0001,16
253,0.0001,39
254,0.0001,2
255,0.0001,8
256,0.0001,0
257,0.0001,0
258,0.0001,19
259,0.0001,1
260,0.0001,22
261,0.0001,9
262,0.0001,15
263,0.0001,8
264,0.0001,0
265,0.0001,9
266,0.0001,16
267,0.0001,1
268,0.0001,1
269,0.0001,8
270,0.0001,1
271,0.0001,0
272,0.0001,2
273,0.0001,8
274,0.0001,2
275,0.0001,1
276,0.0001,1
277,0.0001,0
278,0.0001,6
279,0.0001,1
280,0.0001,1
281,0.0001,1
282,0.0001,0
283,0.0001,0
284,0.0001,9
285,0.0001,14
286,0.0001,9
287,0.0001,1
288,0.0001,0
289,0.0001,0
290,0.0001,1
291,0.0001,8
292,0.0001,1
293,0.0001,8
294,0.0001,9
295,0.0001,0
296,0.0001,0
297,0.0001,1
298,0.0001,7
299,0.0001,9
300,0.0001,16
301,0.0001,1
302,0.0001,2
303,0.0001,0
304,0.0001,1
305,0.0001,7
306,0.0001,0
307,0.0001,0
308,0.0001,7
309,0.0001,1
310,0.0001,27
311,0.0001,28
312,0.0001,1
313,0.0001,1
314,0.0001,1
315,0.0001,1
316,0.0001,9
317,0.0001,0
318,0.0001,0
319,0.0001,7
320,0.0001,1
321,0.0001,0
322,0.0001,1
323,0.0001,2
324,0.0001,1
325,0.0001,10
326,0.0001,9
327,0.0001,15
328,0.0001,7
329,0.0001,24
330,0.0001,0
331,0.0001,0
332,0.0001,1
333,0.0001,14
334,0.0001,0
335,0.0001,0
336,0.0001,1
337,0.0001,8
338,0.0001,1
339,0.0001,0
340,0.0001,1
341,0.0001,1
342,0.0001,8
343,0.0001,1
344,0.0001,2
345,0.0001,23
346,0.0001,1
347,0.0001,0
348,0.0001,0
349,0.0001,0
350,0.0001,14
351,0.0001,6
352,0.0001,1
353,0.0001,1
354,0.0001,16
355,0.0001,9
356,0.0001,1
357,0.0001,1
358,0.0001,0
359,0.0001,24
360,0.0001,8
361,0.0001,2
362,0.0001,0
363,0.0001,1
364,0.0001,1
365,0.0001,1
366,0.0001,1
367,0.0001,0
368,0.0001,7
369,0.0001,0
370,0.0001,1
371,0.0001,0
372,0.0001,7
373,0.0001,0
374,0.0001,6
375,0.0001,2
376,0.0001,15
377,0.0001,1
378,0.0001,0
379,0.0001,22
380,0.0001,0
381,0.0001,0
382,0.0001,2
383,0.0001,1
384,0.0001,7
385,0.0001,2
386,0.0001,16
387,0.0001,22
388,0.0001,11
389,0.0001,1
390,0.0001,1
391,0.0001,1
392,0.0001,31
393,0.0001,0
394,0.0001,0
395,0.0001,8
396,0.0001,1
397,0.0001,1
398,0.0001,2
399,0.0001,7
400,0.0001,1
401,0.0001,0
402,0.0001,0
403,0.0001,1
404,0.0001,0
405,0.0001,0
406,0.0001,0
407,0.0001,1
408,0.0001,7
409,0.0001,0
410,0.0001,0
411,0.0001,0
412,0.0001,1
413,0.0001,0
414,0.0001,1
415,0.0001,0
416,0.0001,2
417,0.0001,2
418,0.0001,1
419,0.0001,8
420,0.0001,9
421,0.0001,7
422,0.0001,0
423,0.0001,1
424,0.0001,1
425,0.0001,7
426,0.0001,1
427,0.0001,1
428,0.0001,8
429,0.0001,1
430,0.0001,1
431,0.0001,0
432,0.0001,0
433,0.0001,1
434,0.0001,1
435,0.0001,0
436,0.0001,11
437,0.0001,8
438,0.0001,1
439,0.0001,16
440,0.0001,8
441,0.0001,16
442,0.0001,8
443,0.0001,0
444,0.0001,0
445,0.0001,0
446,0.0001,14
447,0.0001,1
448,0.0001,1
449,0.0001,1
450,0.0001,10
451,0.0001,1
452,0.0001,1
453,0.0001,0
454,0.0001,23
455,0.0001,6
456,0.0001,8
457,0.0001,9
458,0.0001,11
459,0.0001,0
460,0.0001,8
461,0.0001,1
462,0.0001,9
463,0.0001,1
464,0.0001,34
465,0.0001,16
466,0.0001,8
467,0.0001,15
468,0.0001,1
469,0.0001,0
470,0.0001,8
471,0.0001,1
472,0.0001,2
473,0.0001,3
474,0.0001,0
475,0.0001,1
476,0.0001,0
477,0.0001,0
478,0.0001,1
479,0.0001,18
480,0.0001,9
481,0.0001,0
482,0.0001,24
483,0.0001,0
484,0.0001,0
485,0.0001,0
486,0.0001,0
487,0.0001,2
488,0.0001,1
489,0.0001,0
490,0.0001,13
491,0.0001,1
492,0.0001,1
493,0.0001,1
494,0.0001,0
495,0.0001,1
496,0.0001,0
497,0.0001,7
498,0.0001,0
499,0.0001,0
500,0.0001,16
501,0.0001,1
502,0.0001,0
503,0.0001,0
504,0.0001,8
505,0.0001,9
506,0.0001,1
507,0.0001,16
508,0.0001,2
509,0.0001,0
510,0.0001,1
511,0.0001,9
512,0.0001,8
513,0.0001,1
514,0.0001,1
515,0.0001,1
516,0.0001,0
517,0.0001,0
518,0.0001,1
519,0.0001,0
520,0.0001,7
521,0.0001,9
522,0.0001,1
523,0.0001,32
524,0.0001,16
525,0.0001,8
526,0.0001,1
527,0.0001,1
528,0.0001,8
529,0.0001,31
530,0.0001,9
531,0.0001,0
532,0.0001,1
533,0.0001,2
534,0.0001,0
535,0.0001,9
536,0.0001,1
537,0.0001,2
538,0.0001,0
539,0.0001,14
540,0.0001,0
541,0.0001,15
542,0.0001,16
543,0.0001,8
544,0.0001,0
545,0.0001,1
546,0.0001,1
547,0.0001,2
548,0.0001,0
549,0.0001,13
550,0.0001,1
551,0.0001,16
552,0.0001,17
553,0.0001,1
554,0.0001,1
555,0.0001,0
556,0.0001,0
557,0.0001,0
558,0.0001,1
559,0.0001,15
560,0.0001,16
561,0.0001,1
562,0.0001,0
563,0.0001,0
564,0.0001,0
565,0.0001,16
566,0.0001,1
567,0.0001,0
568,0.0001,0
