simulation_id,probability,payoutMultiplier
0,0.0001,205
1,0.0001,109
2,0.0001,124
3,0.0001,849
4,0.0001,1519
5,0.0001,909
6,0.0001,5765
7,0.0001,123
8,0.0001,32
9,0.0001,231
10,0.0001,0
11,0.0001,164
12,0.0001,169
13,0.0001,201
14,0.0001,108
15,0.0001,46
16,0.0001,5835
17,0.0001,1290
18,0.0001,0
19,0.0001,1648
20,0.0001,78
21,0.0001,391
22,0.0001,914
23,0.0001,237
24,0.0001,766
25,0.0001,140
26,0.0001,5696
27,0.0001,1742
28,0.0001,103
29,0.0001,892
30,0.0001,241
31,0.0001,124
32,0.0001,101
33,0.0001,1857
34,0.0001,117
35,0.0001,108
36,0.0001,4586
37,0.0001,786
38,0.0001,664
39,0.0001,123
40,0.0001,2079
41,0.0001,78
42,0.0001,1040
43,0.0001,85
44,0.0001,47
45,0.0001,109
46,0.0001,85
47,0.0001,267
48,0.0001,3442
49,0.0001,1571
50,0.0001,895
51,0.0001,124
52,0.0001,786
53,0.0001,3112
54,0.0001,141
55,0.0001,630
56,0.0001,776
57,0.0001,73
58,0.0001,118
59,0.0001,157
60,0.0001,1104
61,0.0001,788
62,0.0001,16
63,0.0001,3646
64,0.0001,838
65,0.0001,791
66,0.0001,160
67,0.0001,760
68,0.0001,162
69,0.0001,846
70,0.0001,1155
71,0.0001,832
72,0.0001,124
73,0.0001,124
74,0.0001,1240
75,0.0001,997
76,0.0001,132
77,0.0001,1539
78,0.0001,139
79,0.0001,776
80,0.0001,756
81,0.0001,23
82,0.0001,339
83,0.0001,3457
84,0.0001,154
85,0.0001,170
86,0.0001,162
87,0.0001,1503
88,0.0001,4274
89,0.0001,108
90,0.0001,46
91,0.0001,188
92,0.0001,62
93,0.0001,209
94,0.0001,790
95,0.0001,0
96,0.0001,3306
97,0.0001,246
98,0.0001,1090
99,0.0001,2445
100,0.0001,31
101,0.0001,2368
102,0.0001,900
103,0.0001,302
104,0.0001,850
105,0.0001,93
106,0.0001,37
107,0.0001,946
108,0.0001,991
109,0.0001,963
110,0.0001,173
111,0.0001,257
